restaurant_instance,sinaiyah,mansoriah,namar,badiah,malaz,duraihmiyah,al-uraija,arid,dhahrat-al-badiah,khaldiyah,hada,umm-al-hamam-alsharqi,hateen,dhahrat-laban,khashm-al-an,king-abdulaziz-neighborhood,okaz,qadisiayh,saadah,rimal,uraija-al-wusta,al-massani,al-sulaymanaya,al-ulaya,al-rawabi,janadriyah,al-safarat,jabrah,jazirah,imam-mohamed-islamic-university,al-mather-street,ghirnatah,dahiat-namar,manfuhah,manfuhah-al-jadidah,ghubairuh,marqab,al-shomaisi,salhiyah,alawali,new-industrial-area,namudhajiyah,sultanah,al-dhubat,al-nafal,al-morabaa,faiha,al-khaleej,al-rawdah,al-quds,al-waha,rafiah,jarir,king-fahd-neighborhood,sharafiyah,dar-al-baida,umm-al-hamam-algarbi,al-rabwah,mutamarat,safa,rahmaniyah,salah-ad-din,an-nakhil,yamamah,mikal,oud,dereyah,al-yarmok,rabie,al-morsalat,al-falah,ghadir,narjis,al-hazm,east-an-nasim,al-muruj,sahafah,king-saud-university,fakhriyah,ar-rayan,raid,king-khalid-airport,al-marwa,ulaishah,umm-salim,al-wadi,al-ta-awun,al-isdihar,yasmin,al-mughrizat,ad-difa,faruq,munsiyah,al-mahdiyah,nasiriyah,al-iskan,wazarat,al-bariah,alsharq,faisaliyah,suwaidi-al-gharbi,manakh,malqa,qurtubah,salam,qirawan,utaiqah,al-azizyah,mansura,laban,irgah,khuzama,uraija-al-gharbiyah,alnodhem,king-faisal-neighborhood,maizlh,al-nasem,rimayah,tuwaiq,al-suwaidi,al-salli,king-abdllah-neighborhood,badr,al-moqbel-palaces,al-amaaria,al-muzahimiyah,al-butaiha,alqura,al-uyaynah,al-jubaylah,dirab,banban,princes-nora-university,al-haeer,al-mishal,al-amal,uhud,al-zahra,hyt,manar,misfat,nur,ash-shuhada,taybah,thulaim,al-andalus,al-nahda,hamra,ishbiliyah,al-mathar-alshmali,alard,al-muhammadeya,al-nuzhah,al-wurud,ar-rihab,masiaf,nada,al-futha,al-ghnamiah,al-jaradiyah,al-wisham,wusayta,ash-shifa,dirah,siyah,dubiyah,shubra,skirinah,zahrah,aqiq
Durat%20Al-Rafidan,,,,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,0.0
pizza-hat-restaurant?own_delivery_condition=14800359,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smash-burger,,,,,5.0,,,,,,5.0,5.0,5.0,5.0,,5.0,,5.0,,5.0,,,5.0,5.0,,,,,,,5.0,5.0,,,,,,,,,,,,5.0,5.0,,,5.0,5.0,5.0,5.0,,5.0,5.0,,,5.0,5.0,,,5.0,5.0,5.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,,,,5.0,5.0,,,,,,,,,5.0,5.0,5.0,5.0,5.0,,,5.0,,,,5.0,,,,,,5.0,5.0,,5.0,,,,,5.0,5.0,,,5.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,5.0,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,5.0
blind-burger,,,,,15.0,,,,,,,,,,,,,,,,,,10.0,10.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,10.0,,15.0,10.0,,,,15.0,,,10.0,10.0,15.0,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,10.0,,15.0,,10.0,,,,,,,,,,,,,,,,
gourmet-boutiq,,,,,10.0,,,,,,,,,,,10.0,,,,,,,10.0,10.0,10.0,,,,,10.0,10.0,10.0,,,,,,,,,,,,10.0,10.0,10.0,,,10.0,10.0,10.0,,,10.0,,,,10.0,,,10.0,10.0,,,,,,10.0,,10.0,10.0,,,,,10.0,,10.0,,10.0,,,,,,10.0,10.0,10.0,,10.0,,,10.0,,,,10.0,,,,,,10.0,10.0,10.0,,,,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,,10.0,,,,,,,,,,10.0,,,,,10.0,,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,,,,,,,,,,,,,
pizza-corner,,,,,5.0,,,,,5.0,,,,,,,,,5.0,,,,,,5.0,5.0,,,5.0,,,,,5.0,,,5.0,,,,,,,5.0,,5.0,5.0,5.0,5.0,,,,5.0,,,,,5.0,,5.0,,5.0,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,5.0,,,5.0,,,,,,5.0,5.0,5.0,5.0,5.0,,,5.0,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,5.0,5.0,,5.0,,,,,,,,,5.0,,,,,,5.0,,,,,,
good-stuff-eatery,,,,,5.0,,,,,,,,,,,5.0,,,5.0,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,5.0,5.0,5.0,5.0,,,5.0,,,,,5.0,,5.0,,,,,,,,,,,,,,,5.0,,,,,5.0,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,5.0,,,,5.0,5.0,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,
elevation-burger,,,,,7.0,,,,,,,,,,,7.0,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
potato-factory,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,,,0.0,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,,0.0,,,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,
big-smoke-burger,,,,,15.0,,,,,,15.0,15.0,5.0,15.0,,15.0,,15.0,15.0,15.0,15.0,,15.0,15.0,15.0,,9.0,,15.0,15.0,,9.0,,,,,,,,,,,15.0,15.0,9.0,15.0,15.0,15.0,15.0,9.0,15.0,15.0,,9.0,,,15.0,15.0,,,15.0,15.0,15.0,,,,15.0,9.0,9.0,9.0,9.0,9.0,5.0,15.0,15.0,9.0,5.0,15.0,15.0,15.0,15.0,,,15.0,,9.0,9.0,9.0,5.0,,,15.0,15.0,15.0,15.0,,,,,,,,5.0,9.0,15.0,15.0,,,,15.0,9.0,9.0,15.0,,,,15.0,,,15.0,15.0,15.0,,,,,,,,,,,5.0,,,,,,,15.0,,,,,,15.0,15.0,9.0,9.0,15.0,5.0,15.0,15.0,9.0,,9.0,9.0,,,,15.0,,,,,,15.0,,,5.0
alfrn-alhalabi,,,,,0.0,,,,,0.0,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,
taj,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,5.0,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
best-of-the-best-quality,,,,,5.0,,,,,,,5.0,,,,5.0,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,5.0,,5.0,5.0,,,,,5.0,,5.0,5.0,5.0,,,,,,,5.0,,5.0,,,,5.0,,,,,,,,,,,5.0,,,,,,,,,0.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,5.0,5.0,,5.0,,,,,,,,,,,,,,
baak,,,,,5.0,,,,,,,5.0,5.0,,,5.0,,,5.0,,,,5.0,5.0,5.0,,,,5.0,5.0,5.0,5.0,,,,,,,,,,5.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,5.0,5.0,5.0,5.0,5.0,,5.0,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,5.0,,5.0,5.0,,,,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,,,,5.0,,,,,,5.0,5.0,5.0,,,,,,5.0,5.0,,,5.0,,5.0,,,,5.0,,,,,,,,,,,,,,,,,5.0,,5.0,,,5.0,,,5.0,5.0,5.0,5.0,5.0,,5.0,5.0,5.0,,5.0,5.0,,,,,,,,,,,,,5.0
teriaki,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,
bialah-restaurant,,,,,30.0,,,,,,,30.0,30.0,,,30.0,,,,,,,30.0,30.0,30.0,,30.0,,,30.0,30.0,30.0,,,,,,,,,,,,,30.0,30.0,,30.0,30.0,30.0,30.0,,30.0,30.0,,,30.0,30.0,30.0,,30.0,30.0,30.0,,,,,30.0,30.0,30.0,30.0,30.0,30.0,,,30.0,30.0,30.0,,30.0,30.0,,,,,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,,,,,,,,,,30.0,30.0,30.0,,,,,,30.0,30.0,,,30.0,,,,,,,30.0,,,,,,,,,,,35.0,,,,,,,30.0,,,30.0,,,30.0,30.0,30.0,30.0,30.0,,30.0,30.0,30.0,,30.0,30.0,,,,30.0,,,,,,,,,30.0
falooda,,,,,5.0,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,7.0,,,,5.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,
konafa%20el%20medan,,,,,0.0,,,,,,,,,,,0.0,,0.0,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,
damascus%20gate,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,0.0,,,0.0,,,,,0.0,,,,,,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,
kaboria,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,,,,,0.0
cafe-bateel,,,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0.0
baituti-restaurants,,,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,
tochka,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,5.0,,,,,,,,,,,,,5.0,,,,,,5.0,,,5.0,5.0,,,,5.0,,5.0,5.0,5.0,5.0,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,5.0,,5.0,,,,,,,,,,,,,,,,
fotor,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shuneez-express,,,,,10.0,,,,,,,10.0,10.0,,,10.0,,,,,,,10.0,10.0,10.0,,10.0,,,10.0,10.0,10.0,,,,,,,,,,,,,10.0,10.0,,10.0,10.0,10.0,10.0,,,10.0,,,10.0,10.0,,,10.0,10.0,10.0,,,,,10.0,,10.0,10.0,10.0,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,10.0,,10.0,10.0,,,,,10.0,,,,,,,,10.0,10.0,10.0,10.0,,,,,10.0,10.0,,,10.0,,,,,,,10.0,,,,,,,,,,,10.0,10.0,,,,,,10.0,,,,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,,,,,,,,,,,,,,,10.0
cone-zone-2?own_delivery_condition=16200015,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
steak-house-burger,,,,,12.0,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,
fresca?own_delivery_condition=6600361,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan-burger?own_delivery_condition=4100023,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
naqrish,,,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,0.0,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,,0.0,,,,,,,,,,,0.0,,0.0,0.0
jalset-samar?own_delivery_condition=6900360,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,
shawarmer-restaurant?own_delivery_condition=5000361,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shiro,,,,,,,7.0,,,,7.0,7.0,7.0,,,,,,,,,,,7.0,,,7.0,,,,7.0,,,,,,,,,,,,,,,,,,,,7.0,,,7.0,7.0,,7.0,,7.0,,7.0,7.0,7.0,,,,,,,7.0,,7.0,,,,7.0,,7.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,7.0,,7.0,,7.0,,,,,,,,,,,,,,7.0
falfol,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
damascus-rehana,,,,,,,7.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dairy-queen-treats,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alamal-al-tourkiya,,,,,,,5.0,,,,,,5.0,5.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,5.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altaybat-taste,,,,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,0.0
shawarmer-restaurant?own_delivery_condition=5100360,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hamburgini?own_delivery_condition=4000024,,,,,,,,,12.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizzaratti?own_delivery_condition=4000095,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opera?own_delivery_condition=7500011,,,,,,,,,12.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
aani-dani?own_delivery_condition=4100360,,,,,,,,,12.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pizza-nut-macarona?own_delivery_condition=7500360,,,,,,,,,12.0,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shawarma-plus?own_delivery_condition=8100360,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
al-saaj-al-reefi?own_delivery_condition=5000360,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
cortado,,,,,,,,,5.0,,,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
ajeena,,,,,,,,,5.0,,,,,,,,,5.0,,5.0,,,,,,,,,,,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,,,5.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,5.0,,5.0,
al-rafdeen-al-iraqi,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
genneh-restaurant,,,,,,,,,5.3,,,,,,,,5.3,,,,5.3,,,,5.3,,,,,,,,,,,,,,,5.3,,,,,,,,,,,,,5.3,,,5.3,,5.3,,,,,,,,,,,,,,,,5.3,,,,,,5.3,,,5.3,,,,,,,,,,,,,,,,,,5.3,,,,,,,5.3,,,,,5.3,,,,,,,,,,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,,,,,5.3,
shawerma-way?own_delivery_condition=4900360,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,
